smiles,score_Docking
O=C(c1ccc2c(c1F)NC(=O)c1cccc21)c1ccc2ccccc2c1-c1cccc(O)c1,0.0
O=C(Nc1ccc2c(c1)c1ccccc1CCC2)c1cc2c(cn1)COC2,0.0
Cc1cc(NC(=O)N2C[C@@H],0.0
O=C(c1ccc2ccccc2c1)N1CC(c2ccc(-c3ccccc3)cc2)NC(=O)c2ccccc21,0.0
CC1CN(C(=O)c2cccc3cc(Cn3)n2)CC1N1CCOCC1,0.0
O=C(NC(=O)c1cc2c(cc1)-c1ccccc1-c1ccccc1-c1ccccc12)c1ccnc2c1c(-c1ccccc1)OCc1ccccc12,0.0
O=C(Nc1ccc(-s(=O)(=O)c2cccc(Cl)c2)cc1)c1ccc2cc[nH]c2c1,0.0
Cc1cc(F)c2cccc(C2=Cc2ccccc2OCCC#N)c2cnccc2N1,0.0
Nc1ccc(-c2ccc3c(c2)N(C(=O)c2ccccc2)c(O)cc3)cc1-c1ccc2ccccc2c1,0.0
O=C(NC(=O)c1cc2c(cc1)-c1ccccc1-c1ccccc1-c1ccccc1-c1ccccc12)c1cc(-c2ccccc2)c2c1NCc1ccccc12,0.0
O=C(NC(=O)c1cc2c(c(=O)[nH]1)OCc1ccccc1-c1ccccc12)c1cc2c(cc1)-c1ccccc1-c1ccccc1-c1ccccc1-c1cccccc12,0.0
NC(=O)c1ccc2c(c1)C(=O)Nc1ccccc1NC(=O)c1cc3ccccc31C1CO2,0.0
Nc1cccc2c1CN(C(=O)c1cccc3c(=O)cccc13)CC2,0.0
O=C(NC(=O)c1cc2c(c(=O)[nH]1)-c1ccccc1-c1ccccc1-c1ccccc1c1ccccc12)c1ccc2c(c1)NC(=O)c1ccccc1-c1ccccc1<pad>,0.0
Cc1cc(-c2ccc3c(c2)OCCc2ccccc23)cc(S(C)(=O)=O)c1,0.0
NCc1ccc2ccc(N(Cc3ccc(-c4ccccc4)cc3)C3CCOOOC3)cc2c1,0.0
O=C(NC(=O)c1ccc2c(c1)-c1ccccc1-c1ccccc1-c1ccccc1-2)c1cc2c(c(=O)[nH]1)-c1ccc(F)cc1-c1ccccc1-c1ccccc1<pad>,0.0
O=C(Nc1cccc2c1OCCC(F)(=O)N2)c1ccc(-c2cc(=O)c3ccccc3[nH]2)cc1,0.0
Cc1cc(-c2cccc(-c3ccc4c(c3)C(F)(F)c4)c2)ccc1-c1ccc2c(c1)OCC2,0.0
COC(=O)N1CCC(CNC(=O)N(C)c2cccc3c2nc(=O)n3C)CC1,0.0
O=C(c1cc2c(cc1)NC(=O)c1ccccc1-c1cccc(F)c12)Nc1ccc2c(c1)-c1ccccc1-c1ccccc1-c1cccc12,0.0
O=C(c1cc2c(=O)[nH]ccc2c2ccccc1-c1ccccc1F)c1cc2ccccc2c(F)c1,0.0
Cc1nccnc1N1CC[C@H](c2cccc3c2cccc23)c2ccccc21,0.0
O=C(NC(=O)c1cc2c(c(=O)[nH]1)-c1ccccc1-c1ccccc1-2)c1cc2c(cc1F)-c1ccccc1-c1ccccc1-c1ccccc1-c1ccccc1-2<pad>,0.0
COc1ccc(CN2CCNC(=O)C(F)(F)C2)cc1OC(F)F,0.0
Cc1cccn2c(=O)cc(CN3Cc4ccccc4C[C@@H]3C(=O)N)[nH]c12,0.0
Cc1ccc(-c2ccc3c(c2)C(=O)Nc2ccccc1-c2ccccc23)cc1ccc2c(c1)NC(=O)c1ccccc12,0.0
Cc1ccccc1C(=O)c1nc(-c2ccc3c(c2)C(=O)CCNC3)cc(C)c1F,0.0
O=C(NC(=O)c1cc2c(cc1)-c1ccccc1-c1ccccc1c1ccccc1O2)c1cc2c(c(=O)[nH]1)-c1ccccc1-c1ccccc1-c1cccc1-2,0.0
O=C(NC(=O)c1cc(F)c2c(c1)CC(=O)N(c1ccccc1)C2)c1ccc2c(c1)C(=O)Nc1ccccc1-c1ccccc1-c1cccccc12,0.0
O=C(NC(=O)c1cc2c(cc1F)C(=O)c1ccccc1-2)Nc1cc2c(cc1)-c1ccccc1-c1cccc1O2,0.0
O=C(NC(=O)c1cc2c(cc1)-c1ccccc1c1ccccc1-c1ccccc12)c1cc2c(c(=O)[nH]1)-c1ccccc1-c1ccccc1-c1ccccc1c1ccc<pad>,0.0
O=C(NC(=O)c1ccc2c(c1)-c1ccccc1-c1ccccc1-c1ccccc12)c1cc2c(cc1)-c1cccc1-c1ccccc1-c1ccccc1-2,0.0
O=C(c1cc2c(cc1F)-c1ccccc1-c1ccccc1c12)c1cc2c(cc1)N-c1ccccc1-c1ccccc1-c1ccccc12,0.0
O=C(NC(=O)c1ccc2c(c1)-c1ccccc1-c1ccc(F)cc1-c1ccccc12)c1ccc2c(c1)C(=O)N2-1CNc2ccccc1-c1ccccc12,0.0
