smiles,score_Docking,QED,LogP,SA,NormBinding,NormQED,NormLogP,NormSA,Score
Cc1ccc(C(=O)NC2(c3ccccc3)CN(C(=O)C3(O)CCC3)C2)cc1,5.1,0.8751403402035228,2.3775200000000005,2.523342577222637,0.85,0.8664460971790006,0.30803042832710026,0.7357532866078024,0.7860229812113904
Cc1cc(C(=O)NC(=O)C(F)(F)c2ccc3ccccc3c2)cc(=O)n1C,5.3,0.7708836635171327,2.895320000000001,2.591857562669622,0.8833333333333333,0.6763239805108006,0.24720666453662155,0.7238683304638673,0.7830732308844621
Cc1cc(C(=O)N2CC(NC(=O)c3cc(C)c(C)c(S(C)(=O)=O)c3)C2)cc(=O)n1C,5.1,0.7765804990779683,0.9684599999999997,2.638150761073147,0.85,0.6867127102263539,0.47354671377826274,0.7158380779694826,0.7826097501974099
O=C(NC(=O)c1ccc2c(c1)CNCc1ccccc12)Nc1cccc2c1OCC2(F)F,5.8,0.5575012784725418,4.4029000000000025,2.878350538382559,0.9666666666666667,0.28720059778089235,0.07011765369218359,0.6741718088973793,0.7798156727037121
O=C(NC(=O)c1ccc2c(c1)NC(=O)NC2)c1ccc2c(c1)C(c1ccccc1)C(=O)C2,5.7,0.5609077849130077,3.149000000000002,3.1435398969273347,0.9500000000000001,0.2934126911977333,0.21740795384066036,0.6281707205868274,0.7788991365625221
O=C(NC(=O)c1cc2c(cc1)C(=O)Nc1ccccc1-c1ccccc12)c1cc2c(cc1)OCC2=O,6.0,0.409155238150074,4.731600000000004,2.509205186386378,1.0,0.016677269377738613,0.03150666265716906,0.7382056299744754,0.7786389562009383
O=C(NC(=O)c1ccc2c(c1)CC(=O)N2)c1cc2c(cc1)OCc1ccccc1-c1ccccc12,6.0,0.4135175609592897,4.977800000000004,2.4604403071332204,1.0,0.02463238623392678,0.0025865957486798097,0.7466646327387176,0.7773883614721323
O=C(NC(=O)N1Cc2ccccc2CN1)C1(c2ccc3c(c2)OCCO3)CCC1,5.2,0.8200554942380984,2.6361000000000008,2.955189646795951,0.8666666666666667,0.7659935617237305,0.27765613547089707,0.6608429082536089,0.7771159272114904
O=C(N)c1cc2c(c(=O)[nH]1)Cc1ccccc1c1ccccc1c1ccccc1-2,5.9,0.4541424825424254,4.379000000000002,2.8078685418911338,0.9833333333333334,0.09871585336859008,0.07292508504520101,0.6863979727325267,0.7741372244479652
O=C(NC(=O)c1ccc2c(c1)CNC(=O)c1ccccc1-c1ccccc12)c1cc2c(cc1)OCC2,6.0,0.4101483412815881,4.7691000000000034,2.8944557847782644,1.0,0.01848828882929122,0.02710169714511268,0.6713781113456468,0.7716968097320049
O=C(c1cc(-c2ccc(F)cc2)cc(=O)[nH]1)N1CC2(C1)CC(=O)Nc1ccccc12,5.4,0.6903469490624543,2.9170000000000007,3.0840520357842456,0.9,0.5294575053047602,0.24466000714191782,0.6384897860608933,0.7712607298507571
Cc1cccc(-c2ccc3c(c2)C(=O)NC(=O)N3c2ccc3c(c2)C(=O)c2ccccc23)c1,5.9,0.4262033120047154,4.865820000000003,2.350484770094475,0.9833333333333334,0.047766078165591905,0.015740410096415913,0.7657380767008344,0.7712577898296176
Cc1cccc(C(=O)NC(=O)NC(=O)c2ccccc2-c2ccc3c(c2)C(=O)CC3)c1C,5.5,0.6501412039564075,4.379140000000003,2.345263280857475,0.9166666666666666,0.4561384469505666,0.07290863984062257,0.7666438226509054,0.7712357576108761
Cc1cc2c(cc1)C(NC(=O)NC(=O)c1cccc3c1C(=O)N(C)C3)c1ccccc12,5.5,0.6735024976917132,3.790020000000003,2.999633347948329,0.9166666666666666,0.4987400217775118,0.14211006070629817,0.6531334789130907,0.7710650228063567
O=C(NC(=O)NC(=O)c1cccc2c1OCC2)c1cc2c([nH]c2=O)cc1F,5.1,0.7442159396390597,1.6061,2.637047824186201,0.85,0.6276928110589529,0.39864585486872073,0.7160293989840807,0.7692368064911754
Cc1ccc(C(=O)NC(=O)c2cccc(-c3ccc4c(c3)CC(=O)NC4=O)c2)cc1,5.3,0.6635494788979998,3.0447200000000008,2.185802358530045,0.8833333333333333,0.48058973097176044,0.22965728193658763,0.7943047213020389,0.7687885067543719
O=C(NC(=O)c1cc(F)cc2c1NC(=O)Nc1ccccc12)c1ccc2c(c1)C(=O)NC2,5.7,0.4671048402131137,3.263700000000001,2.8386853265041374,0.9500000000000001,0.12235396418977698,0.20393463266111633,0.6810523373035293,0.7657340934154424
CC(=O)NC(=O)c1ccc2c(c1)C(=O)Nc1ccccc1-c1ccccc12,5.3,0.6950789034434004,3.862600000000002,2.142591496303556,0.8833333333333333,0.5380866810225805,0.13358439678989642,0.8018002961628234,0.7656804707308633
Cc1cccc(C(=O)NC(=O)c2cc3cc(C(=O)NC)ccc3cc2F)c1,5.2,0.7009473846112941,3.2171200000000013,2.084973346453406,0.8666666666666667,0.5487884230762199,0.2094061871558257,0.8117950320530263,0.7636656308951739
O=C(NC(=O)c1ccc2c(c1)CS(=O)(=O)c1ccccc12)c1cc2c(cc1)C(=O)CC2,5.4,0.6279081319351142,3.3400000000000016,2.584359822483515,0.9,0.4155942933570287,0.19497199616591832,0.7251689264241401,0.7635735215947087
O=C(NC(=O)c1cc2c(c(=O)[nH]1)C2)c1cc2c(cc1)Cc1ccccc1-c1ccccc1-2,5.8,0.4159300142718811,4.087500000000003,2.5884148441329096,0.9666666666666667,0.02903172778912291,0.10716635029225485,0.7244655218455455,0.7627330266593589
O=C1C[C@H](NC(=O)c2ccc3c(c2)CC(=O)NC3)c2ccc(Cl)cc21,5.0,0.8699527012428648,2.5698000000000008,3.0537699083961094,0.8333333333333334,0.8569859366304583,0.2854441144962133,0.6437426771416561,0.7619506061601662
Cc1cc(C(=O)NC(=O)N2CCN(c3ccc(F)cc3O)CC2)ncc1F,4.9,0.8379386151382884,2.04582,2.4821198079918663,0.8166666666666668,0.7986051594289283,0.34699381660307904,0.742903996795406,0.760516963949408
O=C(NC(=O)c1cc2c(cc1)C(=O)c1ccccc1-c1ccccc12)c1cc2c(nc1)CC2,5.8,0.4164193503472208,4.570200000000003,2.4025141223211968,0.9666666666666667,0.029924079371415724,0.050465634221061095,0.7567128019324348,0.7603769182191578
O=C(N)c1cc2c(c(=O)[nH]1)-c1ccccc1-c1ccccc1c1ccccc1-2,5.7,0.4608165240984695,4.455200000000002,2.318180194235312,0.9500000000000001,0.11088661257266011,0.06397419512470182,0.7713417919294052,0.7596202599626768
Cc1cc(C(=O)N2CCN(C(=O)c3cc[nH]c(=O)c3)CC2)cc2c1CNC2,4.8,0.8264662181993572,0.8847199999999997,2.6129057820178403,0.7999999999999999,0.7776841358685053,0.48338329543105274,0.7202171998063988,0.7581284631105956
O=C(NC(=O)C1(c2ccc3ccccc3c2)CCC1)N1CC2(CCc3ccccc32)C1,5.5,0.6658932887378143,4.697500000000004,3.110085771928844,0.9166666666666666,0.4848638945263279,0.035512244629466005,0.6339738424272084,0.7571016648249669
O=C(NC(=O)C1(c2ccc3c(c2)C(c2ccccc2)CO3)Cc2ccccc21)c1cccc2c1OCC2,6.0,0.4141876322010709,4.944600000000005,3.710567376348685,1.0,0.025854325843503473,0.006486458548687013,0.529811264164797,0.7562152048556987
O=C(NC(=O)c1ccc2c(c1)S(=O)(=O)NC(=O)C2)c1cccc(-c2ccccc2)c1,5.2,0.6320814351150528,2.2848,2.4489118607924887,0.8666666666666667,0.42320471466802784,0.3189218523878442,0.7486644153887968,0.7557457649111337
Cc1cc(C(=O)NC(=O)N2CC(=O)Nc3ccccc32)cc2c1N(C)C(=O)Nc1ccccc12,5.6,0.5159030943678152,3.9522200000000014,2.789251765499939,0.9333333333333332,0.21134229246262473,0.12305711654481588,0.6896273329886417,0.7557360075329415
O=C(NC(=O)c1cc2ccccc2c2c1CNC2=O)N1C[C@H]2Oc3ccccc3C2C1,5.4,0.6422904308330757,2.793400000000001,3.559519287060392,0.9,0.44182180411166716,0.25917877346965656,0.5560128302178996,0.7557013407799225
O=C(NC(=O)c1cc2c(c(=O)[nH]1)Cc1ccccc1-c1ccccc12)c1ccc2c(c1)C2=O,5.7,0.4090324621181043,3.572300000000002,2.6012692235357715,0.9500000000000001,0.016453375428534606,0.1676847031405645,0.7222357361356918,0.7556373814704791
Cc1ccc(C(=O)NC(=O)NC(=O)c2ccc3c(c2)CC(F)(F)C3)cc1,4.9,0.8665625103869715,3.008720000000002,2.4165083356175074,0.8166666666666668,0.8508035962574724,0.23388604882816189,0.754285294866492,0.7555641606618793
O=C(Nc1cccc2cc(C(=O)N3CC(c4ccccc4O)=NO3)ccc12)N1CCC1,5.3,0.6824545708431772,3.5747000000000018,2.8071775151840743,0.8833333333333333,0.5150649915561338,0.16740278534779285,0.6865178417225601,0.755231895195982
Cc1cc(F)ccc1-c1ccc2ccc3c(c2c1)C(=O)N[C@@H](C(=O)N1CCOCC1)C3,5.3,0.6934625713456648,3.467620000000003,3.011401588696346,0.8833333333333333,0.5351391433738923,0.17998101753528684,0.6510921003114755,0.7549545594553988
O=C(NC(=O)c1ccc2c(c1)-c1ccccc1-c1ccccc1C2=O)c1cc2c(c(=O)[nH]1)C2,5.7,0.4082578987083481,3.669100000000003,2.581068413819173,0.9500000000000001,0.015040884261186596,0.15631401883210871,0.7257398708295468,0.7547094773922843
Cc1cc(=O)c2ccc(C(=O)N3CCN(C(=O)c4cc[nH]c(=O)c4)CC3)cc2[nH]1,5.0,0.6816144323467079,1.1230199999999997,2.4723242085756354,0.8333333333333334,0.5135329178864192,0.45539120792376997,0.7446031910476698,0.7546860650191193
O=C(NC(=O)c1cccc(-c2cc3c(cc2)CNC(=O)c2ccccc23)c1)c1ccc[nH]1,5.7,0.4339248315020025,4.162300000000003,2.519215340410824,0.9500000000000001,0.06184701453703334,0.09837991241753918,0.7364692179939659,0.7546696144948538
